Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d
4,57,5.325608342578503,0.0021005673251535077,1.1714692115783691,1.1714692115783691
56,57,4.8986104795236285,0.006092775849709903,1.0960348844528198,1.0960348844528198
0,12,4.668189603820879,0.009782124917920998,1.044333577156067,1.044333577156067
36,56,4.232465656706686,0.03263265179654523,0.9444683194160461,0.9444683194160461
55,60,-4.203290603323566,0.03263265179654523,-0.9414380192756653,0.9414380192756653
4,27,4.060445433144981,0.04383499476648015,0.9001269340515137,0.9001269340515137
55,57,3.9073006712614373,0.05546052516247697,0.8857229948043823,0.8857229948043823
26,59,3.8561271944476,0.05546052516247697,0.8556673526763916,0.8556673526763916
55,61,-3.845421520040053,0.05546052516247697,-0.8510949611663818,0.8510949611663818
0,19,-3.8972419672188425,0.05546052516247697,-0.8440853953361511,0.8440853953361511
36,38,3.6433431392865656,0.08774313696472447,0.8050326704978943,0.8050326704978943
56,61,-3.6615380202405645,0.08774313696472447,-0.8018657565116882,0.8018657565116882
9,49,3.563151084163726,0.09195665254779727,0.8008311986923218,0.8008311986923218
