cnn_dim,clinical_score,n_samples,pearson_r,r_squared,p_value,slope,intercept,std_err,abs_r
11,CDR,100,-0.6481878735179895,0.4201475193757731,3.0922371686115816e-13,-0.002136351729962165,0.4007612485642131,0.00025352312338607254,0.6481878735179895
3,延迟回忆,100,0.6453229499996869,0.41644170979629835,4.2430657703102333e-13,0.016611501764570522,6.073011503884525,0.0019863733044101295,0.6453229499996869
22,CDR_SOB,100,0.6413124495067631,0.4112816578923646,6.570636862140388e-13,0.010062374041846577,1.4715495695345417,0.001216106281911554,0.6413124495067631
19,CDR,100,-0.6376538095076749,0.40660238077965016,9.737598239197324e-13,-0.0019145452579358837,0.4293322770167758,0.00023363641863180214,0.6376538095076749
5,CDR_SOB,100,0.6361879180263266,0.40473506704267204,1.1383237319113976e-12,0.009914430252994662,1.2920197503069897,0.0012145753323617294,0.6361879180263266
22,MMSE,100,-0.6343427353669612,0.40239070591283854,1.3839295133435266e-12,-0.01996337317670285,25.851633350754206,0.0024575682534519103,0.6343427353669612
25,CDR_SOB,100,0.6294226623513205,0.3961728878814244,2.3152904776775164e-12,0.012805312088602657,1.4829726852678469,0.001596949043405233,0.6294226623513205
3,CDR,100,-0.6271138932959369,0.39327183516478775,2.93847385105923e-12,-0.0013307220007013369,0.4038184118586956,0.00016696481273783883,0.6271138932959369
0,长时延迟再认,100,-0.6191309560045186,0.38332314068306916,6.5997931292712774e-12,-0.031020217385810015,10.029290449691599,0.003974459777548105,0.6191309560045186
0,CDR,100,0.6172561105143747,0.38100510596733395,7.954716924125834e-12,0.0031657810426453962,0.32843523595831287,0.00040761107141109443,0.6172561105143747
19,即刻记忆,100,0.6163651180540779,0.3799059587538174,8.689114750557483e-12,0.03611198863922642,21.11226053049233,0.004660463312879337,0.6163651180540779
12,CDR,100,0.6150946206962462,0.378341392409459,9.850381500156844e-12,0.0013362005071179555,0.3147228123786733,0.00017301853928254079,0.6150946206962462
0,即刻记忆,100,-0.6146406117480084,0.37778308160996604,1.0300571862029738e-11,-0.06151335330369553,23.033325576307575,0.007974546964536122,0.6146406117480084
5,CDR,100,0.6144311982100907,0.3775256973338878,1.051484882518781e-11,0.001733359828862463,0.27118878884569,0.0002248345989858723,0.6144311982100907
12,连线测验B,100,0.6121202088105164,0.37469115003423026,1.3183876371917457e-11,0.25825375892297997,114.65906491624582,0.0337011083107657,0.6121202088105164
22,CDR,100,0.611035190490997,0.37336400401836894,1.4651862516105912e-11,0.0017355220361573891,0.30335005263294956,0.00022712165338773074,0.611035190490997
0,线索回忆,100,-0.6086408339645304,0.37044366476903906,1.8469570197975142e-11,-0.032876914417307966,8.60780284928799,0.004329464935115797,0.6086408339645304
3,线索回忆,100,0.6060690526027496,0.36731969652279445,2.3634127739491733e-11,0.013544953300714929,7.833987728447624,0.0017957030608135804,0.6060690526027496
19,延迟回忆,100,0.6055438528559525,0.3666833577316314,2.4847908614437566e-11,0.02205551229216041,5.8212939460958,0.0029279857746949047,0.6055438528559525
19,CDR_SOB,100,-0.6032880972391228,0.3639565282704013,3.077922749483397e-11,-0.010006272180084645,2.162361574801759,0.0013362198435071734,0.6032880972391228
11,CDR_SOB,100,-0.5926766794977011,0.3512656464204207,8.241228228072531e-11,-0.010790872732089849,2.0058881220206626,0.0014813549800042549,0.5926766794977011
29,CDR_SOB,100,0.5913742828792813,0.3497235424509842,9.277325697573252e-11,0.010019617298251373,1.5728521026742484,0.0013801448754439814,0.5913742828792813
11,MMSE,100,0.589651451775429,0.3476888345808711,1.0841898545648353e-10,0.02153343292369118,24.789145551487007,0.002979423699550898,0.589651451775429
28,CDR,100,-0.5894092098477705,0.3474032166533731,1.108128355981369e-10,-0.0030719654292027544,0.38810463293929,0.00042531317182357167,0.5894092098477705
3,即刻记忆,100,0.5887243971545776,0.3465964158050208,1.1785847489376866e-10,0.024377301136445442,21.61729694058019,0.0033810477710256247,0.5887243971545776
