Region1,Region2,t_statistic,p_value,cohens_d
0,52,-3.301966474626987,0.04200158073499559,-0.7364218831062317
1,7,3.318557065633273,0.04097912147824073,0.7313393354415894
1,12,-4.240795443227489,0.012454602870197999,-0.9224008321762085
2,4,3.836138864401451,0.019621128702930046,0.850689172744751
2,8,-3.5561210929254505,0.03102276164421813,-0.7722622156143188
2,19,-3.866181433657042,0.018540447788523786,-0.8574698567390442
2,24,3.8098609034297577,0.019621128702930046,0.8175235390663147
2,36,3.3899874548903703,0.03948966044575864,0.7548038363456726
2,54,3.6522336260723702,0.02735644613057849,0.8250245451927185
2,57,3.8809914086242454,0.018540447788523786,0.857633650302887
3,41,-4.47879958773409,0.00808059590007823,-0.9754888415336609
3,46,4.035414365438897,0.015087534814093282,0.9061232805252075
4,7,-3.781469694573691,0.019621128702930046,-0.8216571807861328
4,8,3.2825789201477416,0.0423475724754049,0.7242046594619751
4,10,-3.789965950848152,0.019621128702930046,-0.842788815498352
4,22,-3.4924731573074532,0.0349051899126308,-0.7504826784133911
4,28,-3.724144001430605,0.0223664629783085,-0.8290085196495056
4,34,-4.5769963289646025,0.006681278296391321,-1.0151904821395874
4,49,-4.021132601716307,0.015087534814093282,-0.8780279755592346
4,57,4.494932414338966,0.008731446332323405,1.027593970298767
5,41,-3.2899550463260447,0.04200158073499559,-0.717601478099823
6,22,3.4475160354860734,0.03755081262407761,0.7374953627586365
6,34,3.34683556982569,0.04048503875245315,0.7249115705490112
6,66,-3.1963548713751067,0.04914356947993739,-0.7045549750328064
8,18,-4.389136507373156,0.008731446332323405,-0.9586907625198364
8,38,-3.5108000272184134,0.0349051899126308,-0.7501068711280823
10,19,3.458058973366844,0.03622237038800892,0.757282555103302
10,38,-3.4228917673863135,0.03825450832014183,-0.7623868584632874
10,65,-3.873870853387065,0.018540447788523786,-0.8543970584869385
11,41,-3.596974296535589,0.0291807646646758,-0.7783904075622559
12,35,-4.263836352487757,0.012454602870197999,-0.9576306939125061
12,45,-3.200807376066573,0.04974061427359884,-0.7202541828155518
16,50,-3.3399749690558154,0.04048503875245315,-0.7453232407569885
16,66,-3.452915329564445,0.03755081262407761,-0.7346470952033997
17,65,3.305882673618006,0.04153034145652756,0.7202237248420715
18,26,3.6112046434398204,0.02819322679801782,0.7961406111717224
18,28,3.5816826646237496,0.03102276164421813,0.8075902462005615
18,31,3.3741594350847337,0.039492198265965776,0.7326189279556274
18,49,3.365621224729223,0.039492198265965776,0.7419381141662598
18,54,-3.954589365197249,0.016952123650728505,-0.8451855778694153
19,25,3.39400782699487,0.03892648819806788,0.7476736903190613
19,61,-3.2165290441888232,0.04846029273673224,-0.717950701713562
19,64,3.4155173902765497,0.03825450832014183,0.7361916303634644
19,67,-3.2826955689263397,0.0423475724754049,-0.7284373044967651
20,22,3.366375589391004,0.039492198265965776,0.7387491464614868
20,24,3.401892713729587,0.03892648819806788,0.7581868171691895
21,34,4.065451463955573,0.014155390958288718,0.8860293030738831
21,53,-3.679805683763782,0.025159644997833755,-0.7947167158126831
22,42,-4.856572061265122,0.00425153911744241,-1.0913541316986084
23,52,4.079838198531609,0.014155390958288718,0.8900526762008667
23,67,-3.53698143839649,0.03181476457045911,-0.7835962176322937
24,29,-3.473806671684156,0.03543867658006713,-0.7696977257728577
24,34,-3.218989969801101,0.04804534327543181,-0.7138906121253967
24,36,-3.184503318845673,0.04986060887628794,-0.7044978737831116
24,55,-3.2651212206767597,0.0436191871767679,-0.7240173816680908
24,64,3.3132463149525613,0.04115569155204442,0.730741024017334
25,41,-4.077246026978361,0.014155390958288718,-0.8937991857528687
26,35,-4.128127954299241,0.014155390958288718,-0.9085720181465149
26,62,3.9891173384496947,0.016588105700440434,0.8981533050537109
27,36,4.003815669431133,0.015087534814093282,0.8724538683891296
28,29,-3.3789452975981584,0.039492198265965776,-0.7454649209976196
28,36,-4.753063627677485,0.00425153911744241,-1.057235598564148
28,64,4.2275324893976896,0.012693322221520606,0.9462363123893738
28,66,-3.4611619217339444,0.03631215434942829,-0.7439538240432739
29,33,4.077647226954422,0.014155390958288718,0.8989468812942505
29,64,3.5369726352055277,0.03181476457045911,0.7667309641838074
30,38,-3.575127816250738,0.030368900702084336,-0.7776845097541809
30,40,-4.079860897124014,0.014155390958288718,-0.8975411653518677
30,63,3.2260086933729166,0.04804534327543181,0.6943992376327515
32,33,3.7213934272055216,0.0223664629783085,0.8237639665603638
32,39,-3.271502924952945,0.04316139610664277,-0.7093179225921631
33,34,3.9430087661290183,0.018540447788523786,0.9078193306922913
33,35,3.6558394009742363,0.02642062490927863,0.8115550875663757
33,60,-3.241348999495702,0.04741106427626278,-0.6950528025627136
34,42,-3.8238816357970906,0.019621128702930046,-0.8349822163581848
34,58,-3.337720120859548,0.04048503875245315,-0.7315374612808228
34,62,3.67365403375176,0.02642062490927863,0.8314802646636963
35,55,-3.3225716993470127,0.040903738567984994,-0.726918637752533
35,59,-3.9566669752846235,0.01689631089329618,-0.8829458951950073
36,56,4.738723342130269,0.00425153911744241,1.0463210344314575
37,45,-3.7390617865790152,0.022058968495646123,-0.8265796899795532
