Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d
18,23,4.810541527037869,0.014070196463301819,1.081009864807129,1.081009864807129
26,30,4.444263022460039,0.014070196463301819,1.0182137489318848,1.0182137489318848
26,62,4.405033616134884,0.014070196463301819,0.9982308149337769,0.9982308149337769
9,49,4.375824342625916,0.014070196463301819,0.9942612051963806,0.9942612051963806
34,35,-4.420089658315197,0.014070196463301819,-0.9920323491096497,0.9920323491096497
21,34,4.328077373962762,0.014070196463301819,0.9722958207130432,0.9722958207130432
0,62,-4.205709004137474,0.015437930931859384,-0.9651731848716736,0.9651731848716736
30,56,-4.328508857763773,0.014070196463301819,-0.9544047117233276,0.9544047117233276
17,47,-4.215862787200022,0.015437930931859384,-0.9400655031204224,0.9400655031204224
55,57,4.1511885169962985,0.015437930931859384,0.9222989678382874,0.9222989678382874
5,11,-4.33420737274848,0.014070196463301819,-0.9212744235992432,0.9212744235992432
54,55,4.136879747536007,0.015437930931859384,0.917559027671814,0.917559027671814
23,49,-4.182840930493296,0.015437930931859384,-0.9130545854568481,0.9130545854568481
49,67,-4.021627461847626,0.01861393892463167,-0.9053017497062683,0.9053017497062683
56,57,3.958679213452031,0.021236819317542045,0.9041009545326233,0.9041009545326233
36,38,4.039472089539759,0.01861393892463167,0.9004810452461243,0.9004810452461243
26,34,3.9652677175682456,0.020248994543719062,0.89268559217453,0.89268559217453
37,57,4.051272351774511,0.01861393892463167,0.8862206935882568,0.8862206935882568
18,26,3.956919835610347,0.020248994543719062,0.8813015222549438,0.8813015222549438
25,41,-3.8851051860011903,0.02289831223916897,-0.8755444884300232,0.8755444884300232
17,30,3.857329413489159,0.02289831223916897,0.8697735071182251,0.8697735071182251
31,44,-4.036099005533988,0.01861393892463167,-0.8680709600448608,0.8680709600448608
2,19,-3.86000372469877,0.02289831223916897,-0.8610730767250061,0.8610730767250061
2,4,3.836444076846376,0.02289831223916897,0.8497185111045837,0.8497185111045837
19,50,-3.8440097929577783,0.02289831223916897,-0.8439083695411682,0.8439083695411682
28,53,-3.7400659662233817,0.028685356817272196,-0.8402594327926636,0.8402594327926636
2,46,-3.6481859298171737,0.03246261400448676,-0.8331213593482971,0.8331213593482971
30,40,-3.6862827898804014,0.031164661501033992,-0.8321787714958191,0.8321787714958191
12,35,-3.6628462027040016,0.032248239801237914,-0.8306562900543213,0.8306562900543213
50,55,3.7368598842577114,0.028685356817272196,0.8289243578910828,0.8289243578910828
36,56,3.690822221225233,0.03101007500500406,0.8277286887168884,0.8277286887168884
17,27,3.725227008802609,0.028685356817272196,0.8219462037086487,0.8219462037086487
31,46,-3.5874415290388617,0.0347518956692754,-0.8187925219535828,0.8187925219535828
28,56,3.7051115157123484,0.029687119619835917,0.8182100653648376,0.8182100653648376
2,66,-3.7399800128137244,0.028685356817272196,-0.814447283744812,0.814447283744812
29,36,-3.6424684521605557,0.032248239801237914,-0.801582932472229,0.801582932472229
27,60,-3.6221293723238728,0.03246261400448676,-0.8000264763832092,0.8000264763832092
