Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,0.8394039136049327,0.40206772585906503,0.49200740381238,0.10757908461108558,False
region_1,1.0331390056843814,0.3025659633902074,0.47263945639733124,0.1324084230560821,False
region_2,-0.5476813001300556,0.5844134503916587,0.6390294114788898,-0.07019153946228919,False
region_3,-1.0819502724485621,0.2803471310926,0.47263945639733124,-0.13866413775086667,False
region_4,-1.0814850346559781,0.2805535018200389,0.47263945639733124,-0.1386045122773116,False
region_5,-1.1031803932934703,0.27104013736032084,0.47263945639733124,-0.1413850173294111,False
region_6,0.9699624681805105,0.3330296499681433,0.47263945639733124,0.12431163679691871,False
region_7,-1.107062295397799,0.26936166946856455,0.47263945639733124,-0.14188252689323963,False
region_8,0.2663163998917789,0.7902213795051882,0.8396102157242625,0.03413145215660933,False
region_9,0.9093794908927826,0.3640509142273982,0.47263945639733124,0.11654724454904627,False
region_10,-1.0811803740659471,0.28068869975935007,0.47263945639733124,-0.13856546658445576,False
region_11,-1.0246212367723961,0.30656084304563636,0.47263945639733124,-0.1313167748428342,False
region_12,0.9249957982603457,0.35588575792324484,0.47263945639733124,0.11854865057584552,False
region_13,0.6824243926163657,0.4956206383257413,0.5524951378057444,0.08746038740593415,False
region_14,1.5779223549353378,0.1158843171651078,0.47263945639733124,0.20222855740842546,False
region_15,0.9345807789995249,0.3509321558246419,0.47263945639733124,0.11977707402875437,False
region_16,1.3322676990002222,0.18402029544413953,0.47263945639733124,0.17074514091772156,False
region_17,-1.0254691030348921,0.3061616204295937,0.47263945639733124,-0.1314254384729574,False
region_18,1.3130535723415062,0.19040348913672336,0.47263945639733124,0.16828263374561542,False
region_19,0.9311941916581735,0.35267732733004864,0.47263945639733124,0.11934304464167014,False
region_20,0.9249616337661256,0.3559034934170927,0.47263945639733124,0.11854427201034823,False
region_21,1.0206593840021203,0.30843090173320575,0.47263945639733124,0.13080901869888228,False
region_22,0.6913977732605053,0.4899756057132528,0.5524951378057444,0.08861042740445829,False
region_23,0.920169576617855,0.35839670373903665,0.47263945639733124,0.11793011580609496,False
region_24,0.8938302280179807,0.3722971274699777,0.47263945639733124,0.11455443103062417,False
region_25,-1.0811801132341792,0.28068881552662805,0.47263945639733124,-0.1385654331559211,False
region_26,-1.0806690628787041,0.28091570219511314,0.47263945639733124,-0.13849993628541443,False
