n_samples,pearson_r,r_squared,p_value,p_value_fdr,slope,intercept,std_err,connection,score,significant_fdr,abs_r
100,-0.6597270408712966,0.4352397684567975,8.350821986569525e-14,1.2526232979854287e-12,-41.455067618263016,3.3954653743318213,4.77015354386977,avg_connection_strength_positive_vae_denoised,CDR_SOB,True,0.6597270408712966
100,-0.6428988255223003,0.41331889985795306,5.531147805681906e-13,4.14836085426143e-12,-7.312890968225909,0.6414484451818443,0.8801049770789208,avg_connection_strength_positive_vae_denoised,CDR,True,0.6428988255223003
100,0.6185175244531602,0.38256392805566564,7.016538515990479e-12,3.508269257995239e-11,137.28754813762933,17.136266503350154,17.618222938740644,avg_connection_strength_positive_vae_denoised,即刻记忆,True,0.6185175244531602
100,0.6085850493762189,0.37037576232425484,1.856905227830046e-11,6.963394604362673e-11,72.90918340433542,5.473972069625115,9.602595523402721,avg_connection_strength_positive_vae_denoised,线索回忆,True,0.6085850493762189
100,0.6036765990852009,0.36442543628307433,2.966866721629158e-11,8.900600164887475e-11,76.0846158210308,22.2717604134768,10.149922519201795,avg_connection_strength_positive_vae_denoised,MMSE,True,0.6036765990852009
100,0.5874291962929973,0.3450730606574367,1.323799774645125e-10,3.309499436612812e-10,65.275293882656,7.207774663688388,9.083991044238921,avg_connection_strength_positive_vae_denoised,长时延迟再认,True,0.5874291962929973
100,0.5837337472270497,0.34074508765173317,1.8390005491854294e-10,3.9407154625402056e-10,80.54751367830612,3.5199985660223407,11.317512606444883,avg_connection_strength_positive_vae_denoised,延迟回忆,True,0.5837337472270497
100,0.5442489185505146,0.29620688534340467,4.83558085721932e-09,9.066714107286226e-09,81.65183085159224,18.097497132217374,12.713871611853671,avg_connection_strength_positive_vae_denoised,MoCA总分,True,0.5442489185505146
100,-0.5211384667270028,0.27158530150257143,2.7155294330683732e-08,4.525882388447289e-08,-499.03533625317436,82.75618262866406,82.55710976475994,avg_connection_strength_positive_vae_denoised,连线测验A,True,0.5211384667270028
100,-0.4651306490125572,0.21634652065084267,1.0844015137320408e-06,1.6266022705980614e-06,-1027.546901388785,162.95680563457861,197.549389376664,avg_connection_strength_positive_vae_denoised,连线测验B,True,0.4651306490125572
100,0.4193542197081503,0.1758579615870316,1.4070756105984503e-05,1.918739468997887e-05,14.968411887934543,4.03391644139026,3.2732765839105804,avg_connection_strength_positive_vae_denoised,数字广度逆向,True,0.4193542197081503
100,0.41479128562141326,0.17205181062746483,1.7810346582174984e-05,2.226293322771873e-05,55.524233713009686,20.90305999688232,12.303863160804097,avg_connection_strength_positive_vae_denoised,Boston-初始命名,True,0.41479128562141326
100,-0.3235715643926655,0.10469855728351687,0.001024008212926954,0.001181547937992639,-528.5115651356098,80.20062300591451,156.11899642882543,avg_connection_strength_positive_vae_denoised,TMT B-A,True,0.3235715643926655
100,0.30935148427278664,0.09569834082177615,0.0017372622442175108,0.0018613524045187615,6.161202160021802,2.0028761626662357,1.9131846197262272,avg_connection_strength_positive_vae_denoised,CDT,True,0.30935148427278664
100,0.2367845973436062,0.056066945539173726,0.017696312146807867,0.017696312146807867,7.756245866580752,7.331488323963505,3.2148127220680016,avg_connection_strength_positive_vae_denoised,数字广度顺向,True,0.2367845973436062
