n_samples,pearson_r,r_squared,p_value,p_value_fdr,slope,intercept,std_err,connection,score,significant_fdr,abs_r
100,0.642270932597007,0.41251195085902903,5.9220268734608e-13,4.517219247273291e-12,39.60467984249572,1.5941175199546054,4.774355128446162,avg_connection_strength_negative_vae_denoised,CDR_SOB,True,0.642270932597007
100,0.6421153075137402,0.4123120681434652,6.022958996364388e-13,4.517219247273291e-12,7.167610319280026,0.3227396208124645,0.8644138390832238,avg_connection_strength_negative_vae_denoised,CDR,True,0.6421153075137402
100,-0.5812210336332827,0.33781788993774153,2.294211929799182e-10,1.147105964899591e-09,-78.70341130829912,7.029134818729147,11.13083943890385,avg_connection_strength_negative_vae_denoised,延迟回忆,True,0.5812210336332827
100,-0.5753583153337118,0.331037191023647,3.815905741950084e-10,1.4309646532312816e-09,-67.6416582377642,8.63163097916098,9.713232868038371,avg_connection_strength_negative_vae_denoised,线索回忆,True,0.5753583153337118
100,-0.5611226158053886,0.3148585899682817,1.2600809541747003e-09,3.6321001489586375e-09,-122.22268209831175,23.05536705783946,18.212564691667193,avg_connection_strength_negative_vae_denoised,即刻记忆,True,0.5611226158053886
100,-0.5593804208525799,0.31290645523320937,1.452840059583455e-09,3.6321001489586375e-09,-69.18543390446816,25.559656201537695,10.356244711856691,avg_connection_strength_negative_vae_denoised,MMSE,True,0.5593804208525799
100,-0.541139445691555,0.29283189968336343,6.14596088908544e-09,1.3169916190897372e-08,-59.0088834469182,10.026754033035395,9.263103097076758,avg_connection_strength_negative_vae_denoised,长时延迟再认,True,0.541139445691555
100,-0.5363685350737611,0.2876912054171725,8.837600898516527e-09,1.6570501684718488e-08,-78.9671641911727,21.650505921787197,12.551752429563663,avg_connection_strength_negative_vae_denoised,MoCA总分,True,0.5363685350737611
100,-0.4395528344692963,0.19320669428999263,4.753191393365934e-06,7.921985655609892e-06,-15.39645331801775,4.690037510860406,3.1781742876337944,avg_connection_strength_negative_vae_denoised,数字广度逆向,True,0.4395528344692963
100,0.4218727321406342,0.17797660212380328,1.2336258416120308e-05,1.8504387624180462e-05,914.5828402851131,118.65559763862001,198.5503445445848,avg_connection_strength_negative_vae_denoised,连线测验B,True,0.4218727321406342
100,-0.38426393263960457,0.14765876992765456,7.914195812749936e-05,0.00010792085199204458,-7.510308464950985,2.279041874314331,1.8227279884624614,avg_connection_strength_negative_vae_denoised,CDT,True,0.38426393263960457
100,0.3781344466367251,0.14298565973326227,0.00010495014381693232,0.00013118767977116539,355.3360795483959,61.70280735514156,87.87676710299043,avg_connection_strength_negative_vae_denoised,连线测验A,True,0.3781344466367251
100,0.34890278325686086,0.12173315216438403,0.0003741947971929465,0.00043176322753032286,559.246760736717,56.95279028347845,151.73971021296524,avg_connection_strength_negative_vae_denoised,TMT B-A,True,0.34890278325686086
100,-0.3189864548439879,0.10175235837393554,0.0012177011952904443,0.0013046798520969045,-41.902514849756734,23.257827633292724,12.576298929187168,avg_connection_strength_negative_vae_denoised,Boston-初始命名,True,0.3189864548439879
100,-0.1259383429551859,0.015860466226298026,0.2118379161506854,0.2118379161506854,-4.048284172061628,7.651044755028628,3.2212788191991417,avg_connection_strength_negative_vae_denoised,数字广度顺向,False,0.1259383429551859
