subject_id,original_mean_correlation,processed_mean_correlation,improvement
3,0.3620357847918518,0.9889826637201719,0.6269468789283201
4,0.28030450815687996,0.9792555713400488,0.6989510631831688
5,0.34892895990164147,0.9885537991944594,0.6396248392928179
6,0.30094334098197,0.9791846336720154,0.6782412926900454
7,0.3249204096899262,0.9927965419925691,0.6678761323026429
8,0.3608994229237852,0.9857717053499168,0.6248722824261316
9,0.3718353543123637,0.9615963467281622,0.5897609924157985
10,0.3601247134524722,0.9877476960941987,0.6276229826417264
11,0.27915402831104064,0.9661800129423995,0.6870259846313589
12,0.3685121542985627,0.9777836667826703,0.6092715124841075
14,0.32074910468290085,0.9865209323521278,0.6657718276692269
17,0.29937476913921757,0.9898135405470782,0.6904387714078606
18,0.3443797570513796,0.9545386064359538,0.6101588493845742
19,0.33430391020766476,0.9674249862276444,0.6331210760199797
20,0.4127833662489709,0.9862805460689422,0.5734971798199713
22,0.3164163942728559,0.9709087341525036,0.6544923398796476
23,0.49731577045788405,0.9924294384003285,0.49511366794244444
24,0.3989310312802012,0.9928250951692487,0.5938940638890475
27,0.34194963738982626,0.9872977280858297,0.6453480906960034
28,0.39215396951137255,0.9889969942354897,0.5968430247241172
29,0.4545599933165196,0.9747448898216576,0.5201848965051381
31,0.3091233814083166,0.9752300570883494,0.6661066756800329
32,0.30549989489931073,0.9740113033148022,0.6685114084154915
33,0.308389098651926,0.9820127244678036,0.6736236258158776
35,0.29562979718021115,0.9769539973613038,0.6813242001810926
37,0.3068173219913149,0.9838294568339888,0.6770121348426739
39,0.3536828238748774,0.9841045040621803,0.6304216801873029
40,0.3033838682889074,0.9920774567773698,0.6886935884884624
41,0.2913171513598387,0.9858219442136696,0.6945047928538309
42,0.3092965056978966,0.9831927880968778,0.6738962823989813
43,0.2673061883906919,0.9774693723445841,0.7101631839538922
44,0.2963575775748618,0.9458781751084248,0.649520597533563
45,0.402368671303063,0.9855216921082469,0.5831530208051839
46,0.2740131709702568,0.9830756968938014,0.7090625259235446
47,0.33520984556459704,0.988737766940906,0.653527921376309
48,0.4318357207681322,0.9874335218424604,0.5555978010743281
49,0.32424928703550276,0.9796867553836546,0.6554374683481519
50,0.41387378867882324,0.9661039363411185,0.5522301476622953
51,0.3554589508165273,0.9884134290812031,0.6329544782646759
52,0.38422218561218174,0.9654892513198828,0.581267065707701
53,0.3324286807202345,0.9787465260136097,0.6463178452933751
54,0.29685653264537676,0.9356386235289392,0.6387820908835624
56,0.31396243969171045,0.9896873108055115,0.6757248711138011
57,0.3466643964573908,0.9877111704226603,0.6410467739652695
58,0.33447680639801014,0.9872451169335741,0.652768310535564
59,0.343805252931053,0.960892839809698,0.617087586878645
60,0.31195417068850567,0.9895687593406707,0.677614588652165
61,0.3219768561824382,0.9639674010719834,0.6419905448895452
62,0.3572517757089036,0.9871857267251837,0.62993395101628
63,0.2950128724630185,0.9825275274711461,0.6875146550081277
64,0.30918783549988527,0.9813403229611892,0.672152487461304
65,0.2900108951769878,0.9790282554414771,0.6890173602644893
66,0.35730819914671363,0.9916727067564114,0.6343645076096978
68,0.33545349228191895,0.9716282735325759,0.6361747812506569
71,0.2615358905489009,0.9667249240820383,0.7051890335331373
72,0.3073394793003301,0.9777505836761032,0.6704111043757731
