Region1,Region2,t_statistic,p_value,cohens_d
0,62,-4.205709004137474,0.015437930931859384,-0.9651731848716736
2,4,3.836444076846376,0.02289831223916897,0.8497185111045837
2,19,-3.86000372469877,0.02289831223916897,-0.8610730767250061
2,46,-3.6481859298171737,0.03246261400448676,-0.8331213593482971
2,64,-3.6062631584850027,0.03246261400448676,-0.7948319315910339
2,66,-3.7399800128137244,0.028685356817272196,-0.814447283744812
3,46,3.481814681346778,0.03874168684840392,0.7872723937034607
5,11,-4.33420737274848,0.014070196463301819,-0.9212744235992432
6,66,-3.3687522535365146,0.04570248904717426,-0.7434098124504089
9,49,4.375824342625916,0.014070196463301819,0.9942612051963806
12,35,-3.6628462027040016,0.032248239801237914,-0.8306562900543213
12,55,-3.4284838266550857,0.04007278086516474,-0.7555681467056274
14,32,-3.5941211167484743,0.03246261400448676,-0.797094464302063
17,27,3.725227008802609,0.028685356817272196,0.8219462037086487
17,30,3.857329413489159,0.02289831223916897,0.8697735071182251
17,42,-3.3367704561211773,0.04836347333191666,-0.7202669382095337
17,46,3.490260620928822,0.03771431517769159,0.7719074487686157
17,47,-4.215862787200022,0.015437930931859384,-0.9400655031204224
17,58,-3.337528594404242,0.04836347333191666,-0.7207512855529785
18,23,4.810541527037869,0.014070196463301819,1.081009864807129
18,26,3.956919835610347,0.020248994543719062,0.8813015222549438
19,38,3.529284750372602,0.03648626247049315,0.7864887714385986
19,50,-3.8440097929577783,0.02289831223916897,-0.8439083695411682
20,43,-3.4920366463196153,0.03771431517769159,-0.7742322087287903
20,55,-3.5557946666192755,0.0347518956692754,-0.7839287519454956
21,34,4.328077373962762,0.014070196463301819,0.9722958207130432
21,65,3.431374434373332,0.04007278086516474,0.7605684399604797
22,29,-3.3944914125562486,0.045577327802013706,-0.7269110679626465
23,35,-3.3651658045811272,0.04570248904717426,-0.7417666912078857
23,49,-4.182840930493296,0.015437930931859384,-0.9130545854568481
25,41,-3.8851051860011903,0.02289831223916897,-0.8755444884300232
26,30,4.444263022460039,0.014070196463301819,1.0182137489318848
26,34,3.9652677175682456,0.020248994543719062,0.89268559217453
26,62,4.405033616134884,0.014070196463301819,0.9982308149337769
27,60,-3.6221293723238728,0.03246261400448676,-0.8000264763832092
28,53,-3.7400659662233817,0.028685356817272196,-0.8402594327926636
28,56,3.7051115157123484,0.029687119619835917,0.8182100653648376
29,36,-3.6424684521605557,0.032248239801237914,-0.801582932472229
30,38,-3.528495286561978,0.03648626247049315,-0.771289050579071
30,40,-3.6862827898804014,0.031164661501033992,-0.8321787714958191
30,56,-4.328508857763773,0.014070196463301819,-0.9544047117233276
31,44,-4.036099005533988,0.01861393892463167,-0.8680709600448608
31,46,-3.5874415290388617,0.0347518956692754,-0.8187925219535828
32,33,3.347956093673215,0.04793455838488738,0.7253817319869995
33,35,3.44620186096999,0.04007278086516474,0.7757129073143005
33,51,-3.5185406604245753,0.03771431517769159,-0.7962292432785034
34,35,-4.420089658315197,0.014070196463301819,-0.9920323491096497
34,67,3.392233255921882,0.04570248904717426,0.7725329399108887
35,53,3.4330760111097334,0.04007278086516474,0.753002941608429
36,38,4.039472089539759,0.01861393892463167,0.9004810452461243
36,56,3.690822221225233,0.03101007500500406,0.8277286887168884
37,57,4.051272351774511,0.01861393892463167,0.8862206935882568
37,61,-3.4797151992905913,0.03874168684840392,-0.7815169095993042
38,52,3.5911439042443907,0.03246261400448676,0.788965106010437
44,48,-3.603699973957936,0.03246261400448676,-0.793757438659668
47,62,-3.525852095156588,0.03648626247049315,-0.7888908386230469
49,67,-4.021627461847626,0.01861393892463167,-0.9053017497062683
50,55,3.7368598842577114,0.028685356817272196,0.8289243578910828
54,55,4.136879747536007,0.015437930931859384,0.917559027671814
54,59,3.4677117378299895,0.03874168684840392,0.7492706179618835
55,57,4.1511885169962985,0.015437930931859384,0.9222989678382874
56,57,3.958679213452031,0.021236819317542045,0.9041009545326233
