Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d,positive_mean,negative_mean,mean_difference
4,57,8.593797638193017,2.5891150383102446e-12,1.081745982170105,1.081745982170105,0.07103195,0.006938219,0.06409373
4,27,8.379732210230983,5.359036578407032e-12,1.0745820999145508,1.0745820999145508,0.049824078,-0.024454737,0.07427882
36,56,8.016765670214612,3.900896139693701e-11,1.0323001146316528,1.0323001146316528,-0.008179191,-0.10551114,0.09733195
56,57,7.282373427990466,2.6837719252855245e-09,0.9293031096458435,0.9293031096458435,-0.009333723,-0.0717706,0.06243688
2,36,6.947312989613303,1.5998162156468853e-08,0.8767439126968384,0.8767439126968384,0.053645536,-0.030810572,0.08445611
25,29,-6.739439662717011,4.858754529288927e-08,-0.8732747435569763,0.8732747435569763,-0.073596366,0.016653383,-0.09024975
55,60,-6.594887432337638,9.848590956099128e-08,-0.8581607341766357,0.8581607341766357,-0.023482451,0.035802223,-0.059284672
55,57,6.437312078710382,2.0550791597131386e-07,0.8462740182876587,0.8462740182876587,0.048085902,-0.049011797,0.097097695
0,12,6.369166144758135,2.2908890715330166e-07,0.8321796655654907,0.8321796655654907,0.048186984,-0.035119817,0.083306804
2,9,-6.470785476673277,1.5479488644168593e-07,-0.8201532959938049,0.8201532959938049,-0.0023132921,0.069626234,-0.07193953
27,54,6.186883719083493,4.7600897056889e-07,0.8063830733299255,0.8063830733299255,0.05466109,-0.008802414,0.06346351
0,19,-6.347603413381182,2.2908890715330166e-07,-0.8050709366798401,0.8050709366798401,-0.03307048,0.02359944,-0.05666992
