Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d,positive_mean,negative_mean,mean_difference
9,49,8.569496175644852,3.4395390737148093e-12,1.1047933101654053,1.1047933101654053,-0.023226542,-0.1461631,0.12293656
26,30,7.973738964766183,1.0996830542116172e-10,1.0412417650222778,1.0412417650222778,0.09332505,0.008735257,0.084589794
12,35,-7.704406829884856,3.087466741491695e-10,-0.9960963726043701,0.9960963726043701,0.0026322124,0.079688884,-0.07705667
30,38,-7.203677391877514,3.4709190511556048e-09,-0.9215223789215088,0.9215223789215088,-0.033251498,0.057801876,-0.091053374
5,11,-7.3553474622797665,2.2162638368235873e-09,-0.9074058532714844,0.9074058532714844,-0.021030363,0.05774875,-0.078779116
49,67,-6.95109932343258,1.2177861912443236e-08,-0.8973351716995239,0.8973351716995239,0.08474808,0.19003111,-0.10528303
18,26,6.870929081920862,1.5498445732678024e-08,0.8773927092552185,0.8773927092552185,0.064342394,-0.008703527,0.073045924
20,43,-6.9382120556875515,1.2177861912443236e-08,-0.8765943050384521,0.8765943050384521,0.05445824,0.13476299,-0.08030475
36,38,6.7206058441446075,3.019732528968859e-08,0.8751105666160583,0.8751105666160583,0.022965914,-0.06370148,0.086667396
30,40,-6.718599268741644,3.019732528968859e-08,-0.8710218667984009,0.8710218667984009,-0.048094444,0.05603412,-0.10412857
34,35,-6.812876799705198,1.928169154950909e-08,-0.8560630679130554,0.8560630679130554,-0.011054556,0.051648654,-0.06270321
4,11,6.699776564691854,3.019732528968859e-08,0.8508102893829346,0.8508102893829346,0.05246818,-0.0038103533,0.056278534
44,48,-6.664140163309884,3.115399083972089e-08,-0.8471162915229797,0.8471162915229797,0.018746255,0.120864086,-0.10211783
18,23,6.552727493039367,5.535927505668178e-08,0.8360732793807983,0.8360732793807983,0.037131052,-0.021664571,0.058795623
54,55,6.521106481839436,6.174136333710907e-08,0.8317550420761108,0.8317550420761108,0.043756172,-0.016736126,0.0604923
17,30,6.2506270979540535,2.0515555864297493e-07,0.8092793822288513,0.8092793822288513,0.029414464,-0.02407311,0.053487577
36,56,6.263757337726145,1.978185728935534e-07,0.8076584339141846,0.8076584339141846,-0.02544546,-0.10551114,0.080065675
17,27,6.336973830846112,1.4370466761272078e-07,0.8065049648284912,0.8065049648284912,0.04191384,-0.05400724,0.095921084
0,62,-6.121014038485267,3.254999803198792e-07,-0.8006761074066162,0.8006761074066162,-0.015759073,0.069116324,-0.0848754
