n_samples,pearson_r,r_squared,p_value,p_value_fdr,slope,intercept,std_err,connection,score,significant_fdr,abs_r
100,-0.1952882933884228,0.038137517534562695,0.05152016843781376,0.34420178491827824,-26.633145978250372,22.93108467389783,13.511069070619,avg_connection_strength_positive_vae_denoised,即刻记忆,False,0.1952882933884228
100,0.18809354817785265,0.03537918286613417,0.06092333526538087,0.34420178491827824,7.261968504582557,1.6606442960943553,3.8304142040421105,avg_connection_strength_positive_vae_denoised,CDR_SOB,False,0.18809354817785265
100,-0.17747572982915663,0.0314976346783918,0.07731266779832519,0.34420178491827824,-12.11711969841504,9.952525071379204,6.787310733112632,avg_connection_strength_positive_vae_denoised,长时延迟再认,False,0.17747572982915663
100,-0.16064682685975284,0.02580740298010741,0.11034159536303685,0.34420178491827824,-11.824974857704927,8.506918871091516,7.3390094852392345,avg_connection_strength_positive_vae_denoised,线索回忆,False,0.16064682685975284
100,0.15872068443308326,0.025192255666906402,0.11473392830609273,0.34420178491827824,1.1092951469199663,0.3387128509383374,0.6970437427387542,avg_connection_strength_positive_vae_denoised,CDR,False,0.15872068443308326
100,0.1375778366784858,0.018927661145132113,0.1722587803104367,0.42167688587631147,80.94569634052013,61.996668491532624,58.8684722205484,avg_connection_strength_positive_vae_denoised,连线测验A,False,0.1375778366784858
100,-0.1301638370633217,0.01694262447904696,0.19678254674227869,0.42167688587631147,-11.99846846686777,21.470248178291452,9.232341639388974,avg_connection_strength_positive_vae_denoised,MoCA总分,False,0.1301638370633217
100,-0.11404752209579241,0.013006837296190258,0.25854891422190907,0.47197431870001005,-8.831723911552007,25.36947899204162,7.77147876249165,avg_connection_strength_positive_vae_denoised,MMSE,False,0.11404752209579241
100,-0.09675715380209896,0.009361946811883032,0.3382362125584649,0.47197431870001005,-1.9473693178557616,7.667369622559337,2.023530262450278,avg_connection_strength_positive_vae_denoised,数字广度顺向,False,0.09675715380209896
100,0.09529546494572941,0.009081225639222743,0.34561839301157005,0.47197431870001005,2.0899411664529386,4.569894452559434,2.2053007125082957,avg_connection_strength_positive_vae_denoised,数字广度逆向,False,0.09529546494572941
100,-0.0951979416724331,0.009062648098667976,0.34611450038000735,0.47197431870001005,-8.071086751073574,6.7748825190813795,8.525395167853526,avg_connection_strength_positive_vae_denoised,延迟回忆,False,0.0951979416724331
100,-0.07490450242425946,0.005610684483425891,0.4588941168169697,0.5521809371117232,-0.9166178234590462,2.2575897102720828,1.232666408426998,avg_connection_strength_positive_vae_denoised,CDT,False,0.07490450242425946
100,-0.07167245755043752,0.005136941171319269,0.47855681216349344,0.5521809371117232,-5.894844664129643,23.153120874466175,8.28683485372232,avg_connection_strength_positive_vae_denoised,Boston-初始命名,False,0.07167245755043752
100,-0.06307140339187263,0.003978001925820322,0.5330180643232525,0.5710907832034848,-63.2970923536307,61.074658374592865,101.17487891602394,avg_connection_strength_positive_vae_denoised,TMT B-A,False,0.06307140339187263
100,0.013002191026570907,0.000169056971491441,0.897838267414909,0.897838267414909,17.64860398688953,123.07132686612549,137.10208663747574,avg_connection_strength_positive_vae_denoised,连线测验B,False,0.013002191026570907
