Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d
26,30,8.499425614542245,7.634995193411229e-12,1.108654499053955,1.108654499053955
9,49,8.163541565996757,2.4771036976554606e-11,1.0538158416748047,1.0538158416748047
12,35,-7.339773698579387,1.8045065227358722e-09,-0.9494183659553528,0.9494183659553528
23,49,-7.372354061099441,1.8045065227358722e-09,-0.9299654960632324,0.9299654960632324
18,26,7.224670824947383,2.245847289898246e-09,0.9271493554115295,0.9271493554115295
30,38,-7.275513232243074,1.8045065227358722e-09,-0.9235787391662598,0.9235787391662598
17,47,-7.143199499520892,3.304827067131746e-09,-0.9193888306617737,0.9193888306617737
5,11,-7.3237626926274375,1.8045065227358722e-09,-0.9030642509460449,0.9030642509460449
30,40,-6.890004610690506,1.4512125250848072e-08,-0.8941707611083984,0.8941707611083984
49,67,-6.655730224312281,4.208361835398238e-08,-0.8644895553588867,0.8644895553588867
20,43,-6.788717555924143,1.974842553202695e-08,-0.8554683923721313,0.8554683923721313
36,38,6.573788595931329,5.417969900344188e-08,0.8498633503913879,0.8498633503913879
44,48,-6.658356308187622,3.846497110240659e-08,-0.8491985201835632,0.8491985201835632
2,46,-6.45029999858082,8.556017922362936e-08,-0.8390365242958069,0.8390365242958069
34,35,-6.569746258293799,5.387635403179372e-08,-0.8372657299041748,0.8372657299041748
54,55,6.507308943507801,6.20474600444859e-08,0.8276732563972473,0.8276732563972473
18,23,6.461263475751885,7.785454157833956e-08,0.8274523019790649,0.8274523019790649
2,19,-6.447295723077468,7.793251759722898e-08,-0.8220040202140808,0.8220040202140808
31,46,-6.276974664497933,1.5580741130932118e-07,-0.8211838006973267,0.8211838006973267
23,35,-6.520045034422927,6.20474600444859e-08,-0.8184260129928589,0.8184260129928589
17,30,6.29427295379618,1.5580741130932118e-07,0.817572295665741,0.817572295665741
15,48,-6.3914422847023635,9.512643005886375e-08,-0.812183141708374,0.812183141708374
0,62,-6.126683809176365,2.811896707154405e-07,-0.8015208840370178,0.8015208840370178
30,56,-6.256180105141766,1.5580741130932118e-07,-0.800077497959137,0.800077497959137
