Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d
28,36,-8.017785109761059,1.1664707903230218e-10,-1.0282429456710815,1.0282429456710815
39,55,-7.65294269288196,3.5540925404169255e-10,-0.9748602509498596,0.9748602509498596
3,41,-7.76744795342099,2.6065144704195816e-10,-0.9732045531272888,0.9732045531272888
22,42,-7.39898002182293,1.0128585044301063e-09,-0.9541900157928467,0.9541900157928467
3,46,7.363654159622271,1.0128585044301063e-09,0.9460166096687317,0.9460166096687317
10,65,-7.354808198365596,1.0128585044301063e-09,-0.9400978088378906,0.9400978088378906
30,40,-7.359609659143477,1.0128585044301063e-09,-0.9366751313209534,0.9366751313209534
36,56,7.194356325168546,2.2299295852761378e-09,0.9161107540130615,0.9161107540130615
28,64,7.046072518065226,5.837128863535567e-09,0.9107992649078369,0.9107992649078369
22,50,-6.9593324065781355,7.824238970548664e-09,-0.8951882123947144,0.8951882123947144
40,54,-6.91955547971893,8.037245146876307e-09,-0.8861687183380127,0.8861687183380127
16,50,-6.7621504975377285,1.7354099284645226e-08,-0.8666121363639832,0.8666121363639832
53,58,6.84995478991827,1.0515734629037574e-08,0.8607175946235657,0.8607175946235657
2,24,6.970891518557167,7.824238970548664e-09,0.8595487475395203,0.8595487475395203
9,49,6.690486103593647,2.0383044499874067e-08,0.8573801517486572,0.8573801517486572
4,28,-6.721181165243192,1.9704848710242848e-08,-0.857294499874115,0.857294499874115
23,67,-6.686399560920648,2.0383044499874067e-08,-0.8494188785552979,0.8494188785552979
18,54,-6.7060198194380485,2.036470600215021e-08,-0.8384082913398743,0.8384082913398743
2,19,-6.50679850838276,4.902940348951937e-08,-0.832557201385498,0.832557201385498
38,48,6.541947213651893,4.074502478843207e-08,0.8207453489303589,0.8207453489303589
18,31,6.610621920469017,3.211623878171513e-08,0.820231556892395,0.820231556892395
22,44,-6.33180276293004,1.0474347145935623e-07,-0.8094384074211121,0.8094384074211121
14,45,-6.2280873540254005,1.6462822508350324e-07,-0.8075032234191895,0.8075032234191895
4,7,-6.417802782801356,6.974091292623307e-08,-0.8025476932525635,0.8025476932525635
4,49,-6.435933383725678,6.84478227754061e-08,-0.802412748336792,0.802412748336792
