Region1,Region2,t_statistic,p_value,cohens_d
2,4,4.942308536168921,0.0005549918616388663,0.6326085329055786
2,36,3.9712600400565146,0.014510629783353225,0.5104454159736633
2,46,-3.73872981067272,0.02498547315806366,-0.4734291136264801
2,54,5.180899376313319,0.0002115513315075176,0.6589978933334351
4,54,5.6248475028473015,4.673142754564874e-05,0.7194828987121582
8,25,-3.740573110370261,0.02498547315806366,-0.47331783175468445
8,38,-4.8895735665551605,0.0006033620592583009,-0.6114498972892761
8,40,-5.5863861201639855,4.673142754564874e-05,-0.7048540115356445
8,53,4.238019205286587,0.007317234653058329,0.5400883555412292
10,30,-4.06280929353597,0.011446332725030303,-0.5132932066917419
10,38,-3.4668951018582232,0.04905338647914787,-0.44313526153564453
18,48,3.7774027076106864,0.02387498155403577,0.47914132475852966
24,48,-4.064083679429774,0.011446332725030303,-0.5140764117240906
24,64,5.630285966442747,4.673142754564874e-05,0.7143237590789795
28,29,-3.585791734098782,0.03884873257220543,-0.46015819907188416
28,30,3.539707559082883,0.042540307125238215,0.447147399187088
29,49,3.4769292828205405,0.04905338647914787,0.4382510185241699
30,38,-4.015460375740928,0.012990354156011017,-0.5145776867866516
30,40,-4.08639023085859,0.011446332725030303,-0.5240968465805054
31,41,3.5362510940750207,0.042540307125238215,0.44869160652160645
32,44,4.501108763497543,0.0026623513636118866,0.5734474062919617
36,38,3.6191967714573767,0.0371934987693278,0.4591379463672638
38,46,5.272520985536629,0.00016999186895422737,0.6716013550758362
38,48,3.79735017914896,0.023491605894364356,0.48535019159317017
38,52,3.9160836818188396,0.01610994560363146,0.5007317662239075
38,62,3.472852297219442,0.04905338647914787,0.4440299868583679
40,54,-4.639308710557448,0.0016700217193406242,-0.5965132713317871
47,66,-3.911272048557532,0.01610994560363146,-0.5013147592544556
54,56,3.5896665803649888,0.03884873257220543,0.4572991132736206
