Region1,Region2,t_statistic,p_value,cohens_d
1,46,-3.505736644877639,0.04940219484597417,-0.44306719303131104
2,4,4.795586072392799,0.002626528031427558,0.6162635087966919
2,24,3.4761922577614413,0.04970564168464212,0.446256548166275
2,46,-4.3474877221746935,0.007693135589299465,-0.550700306892395
2,54,3.713655924095312,0.03079340891152408,0.4796227812767029
2,65,3.993794262380569,0.014837781438422857,0.5093525648117065
2,67,4.348839753072908,0.007693135589299465,0.5552871227264404
3,25,-3.7591600658245867,0.02725311308330154,-0.48320695757865906
3,55,-4.186904094786432,0.010464968199301084,-0.5405063629150391
4,32,3.469050191356487,0.04970564168464212,0.43923890590667725
4,34,-4.231893589145404,0.010464968199301084,-0.5344331860542297
4,52,-5.122987053742152,0.0013995891525445943,-0.6517524719238281
4,56,3.4435823436898327,0.04970564168464212,0.4413374960422516
4,65,4.118165181305342,0.010892483324359012,0.5262390375137329
5,55,3.7845354390043453,0.026004635634183027,0.4802451729774475
13,35,4.00584415260057,0.014837781438422857,0.5073906183242798
17,29,3.452148568898108,0.04970564168464212,0.4408973753452301
18,29,-3.546016324268813,0.04651723540141862,-0.45184534788131714
19,35,-3.4623980098558693,0.04970564168464212,-0.4358367919921875
21,44,3.6104403262727383,0.04131989909766178,0.4578145742416382
24,48,-3.434401092400174,0.04970564168464212,-0.4338850677013397
26,34,3.9796687473988195,0.014837781438422857,0.5024414658546448
30,40,-3.6027550031509237,0.04131989909766178,-0.4595828652381897
35,46,4.177480652389916,0.010464968199301084,0.523829460144043
36,38,4.6876524178995105,0.002626528031427558,0.5955250263214111
36,56,4.145691300820275,0.010669230488553082,0.5242355465888977
38,48,3.9167652021647164,0.017792809512571707,0.5009403228759766
38,52,3.5929917981147423,0.04131989909766178,0.4626254439353943
44,48,-3.488566233783464,0.04970564168464212,-0.4483489394187927
47,56,-3.5254839597180925,0.04809977308470358,-0.44177326560020447
54,56,4.719208949794246,0.002626528031427558,0.6031202077865601
58,66,-3.7912711826530128,0.026004635634183027,-0.4814188480377197
