Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d
4,57,9.109247537870418,7.728282086636112e-14,1.1520168781280518,1.1520168781280518
56,57,8.062425153466295,4.1224568008194447e-11,1.0310941934585571,1.0310941934585571
4,27,7.691206942239289,2.8772738656512403e-10,0.9857950210571289,0.9857950210571289
36,56,7.65164866814847,2.8772738656512403e-10,0.9834588170051575,0.9834588170051575
0,19,-7.130435308841382,5.331959213078841e-09,-0.9056823253631592,0.9056823253631592
20,35,-6.775455665473246,3.6096701000958606e-08,-0.8607945442199707,0.8607945442199707
55,57,6.489222580663979,1.5006970921918732e-07,0.8510470390319824,0.8510470390319824
2,9,-6.718169537816703,4.3315997390048956e-08,-0.8491525650024414,0.8491525650024414
2,36,6.669069975460591,5.050496392671451e-08,0.8414459228515625,0.8414459228515625
27,54,6.3820782243207645,2.1938229432400663e-07,0.8271831274032593,0.8271831274032593
0,12,6.201363487294831,5.95922636875203e-07,0.8138672113418579,0.8138672113418579
