n_samples,pearson_r,r_squared,p_value,p_value_fdr,slope,intercept,std_err,connection,score,significant_fdr,abs_r
100,0.2748714139153937,0.0755542941878477,0.005645690118818769,0.08468535178228154,10.11588777077324,1.76132238466195,3.57439128811381,avg_connection_strength_negative_original,CDR_SOB,False,0.2748714139153937
100,-0.22882337527615312,0.05236013707277121,0.022024966866529532,0.1126945203212581,-14.892060048348535,9.776939082677975,6.399750074753891,avg_connection_strength_negative_original,长时延迟再认,False,0.22882337527615312
100,0.2279697107412451,0.05197018901544697,0.02253890406425162,0.1126945203212581,1.5187444281325049,0.35419315297686166,0.6552477051777583,avg_connection_strength_negative_original,CDR,False,0.2279697107412451
100,-0.20178179990429598,0.04071589477261734,0.044092791689345295,0.15218788491646554,-14.89483120600065,25.25694967806734,7.303216592387582,avg_connection_strength_negative_original,MMSE,False,0.20178179990429598
100,-0.1878829682821833,0.03530000977052389,0.061218344956506444,0.15218788491646554,-16.50885103473735,21.303120806049225,8.717913090163952,avg_connection_strength_negative_original,MoCA总分,False,0.1878829682821833
100,-0.18546429100204473,0.03439700323689113,0.06469101340492792,0.15218788491646554,-13.01314718879081,8.329755148802624,6.964794438231204,avg_connection_strength_negative_original,线索回忆,False,0.18546429100204473
100,-0.18131438149846715,0.03287490493817169,0.07102101296101725,0.15218788491646554,-14.653139150444828,6.676025579998354,8.028357614120743,avg_connection_strength_negative_original,延迟回忆,False,0.18131438149846715
100,-0.16160919244671904,0.02611753108328067,0.10819660191894995,0.20045019750458576,-3.378483882360654,4.622917472295935,2.083991903970257,avg_connection_strength_negative_original,数字广度逆向,False,0.16160919244671904
100,-0.1563726591189066,0.024452408519917763,0.12027011850275145,0.20045019750458576,-1.8240433679769172,2.24697414298628,1.163819235899918,avg_connection_strength_negative_original,CDT,False,0.1563726591189066
100,-0.14241274263079667,0.02028138926362553,0.15752696627173854,0.23629044940760782,-18.51352315821264,22.490785574483564,12.998039862083289,avg_connection_strength_negative_original,即刻记忆,False,0.14241274263079667
100,0.10495057607651348,0.011014623418792044,0.2987191828574753,0.4073443402601936,58.8605177749323,63.324949612264895,56.34055859187496,avg_connection_strength_negative_original,连线测验A,False,0.10495057607651348
100,0.057431566754804805,0.0032983848599116004,0.570331143238014,0.7105256245472623,74.30849133458793,123.12588502073997,130.48401846624674,avg_connection_strength_negative_original,连线测验B,False,0.057431566754804805
100,-0.050788884775354225,0.0025795108167242084,0.6157888746076273,0.7105256245472623,-3.9818299606789664,23.05522433730489,7.909338054480733,avg_connection_strength_negative_original,Boston-初始命名,False,0.050788884775354225
100,0.016148280603917868,0.00026076696646287,0.8733041475428793,0.9356830152245136,15.447973559655637,59.80093540847507,96.62189703070953,avg_connection_strength_negative_original,TMT B-A,False,0.016148280603917868
100,0.005463935197929585,2.985458784717381e-05,0.956972773639421,0.956972773639421,0.1048249689482212,7.629599206721281,1.937937120934929,avg_connection_strength_negative_original,数字广度顺向,False,0.005463935197929585
