n_samples,pearson_r,r_squared,p_value,p_value_fdr,slope,intercept,std_err,connection,score,significant_fdr,abs_r
100,-0.41589125445065156,0.1729655355285366,1.6831924865229993e-05,0.0002524788729784499,-17.616947106888254,1.802203308773926,3.8913440352800497,avg_connection_strength_positive_original,CDR_SOB,True,0.41589125445065156
100,-0.39826553009856713,0.15861543246469267,4.065970282231926e-05,0.00030494777116739445,-3.053913316591379,0.3603819455189613,0.7105067677817799,avg_connection_strength_positive_original,CDR,True,0.39826553009856713
100,0.32554634015530604,0.10598041958851423,0.0009495934903371693,0.004747967451685846,30.282217520173266,6.616212676626017,8.884547935204345,avg_connection_strength_positive_original,延迟回忆,True,0.32554634015530604
100,-0.3066529002505023,0.0940360012320445,0.0019150648086087136,0.007100887202601838,-456.67926436086185,123.46711576608202,143.18800837731877,avg_connection_strength_positive_original,连线测验B,True,0.3066529002505023
100,0.30069746158359645,0.09041896340281846,0.0023669624008672793,0.007100887202601838,44.99315230392,22.414372815753133,14.415321098275564,avg_connection_strength_positive_original,即刻记忆,True,0.30069746158359645
100,0.28379553899001025,0.08053990795063043,0.004218364800413476,0.009210114512100916,24.112131041937847,25.1969843543515,8.229689216027861,avg_connection_strength_positive_original,MMSE,True,0.28379553899001025
100,-0.283230943019675,0.08021976708381438,0.004298053438980427,0.009210114512100916,-182.83375807846835,63.57286657392452,62.5381004697304,avg_connection_strength_positive_original,连线测验A,True,0.283230943019675
100,0.2648830656652032,0.07016303847619634,0.007738341872638696,0.014509391011197555,21.3920630021745,8.277324546652771,7.866632097534221,avg_connection_strength_positive_original,线索回忆,True,0.2648830656652032
100,0.2566920222522701,0.06589079428795994,0.009937485530466172,0.01656247588411029,19.2284022661672,9.717595150444367,7.313354339784538,avg_connection_strength_positive_original,长时延迟再认,True,0.2566920222522701
100,-0.24870467687202183,0.06185401629801679,0.012591635148174839,0.01888745272226226,-273.8455062823933,59.89424919215749,107.73178121660358,avg_connection_strength_positive_original,TMT B-A,True,0.24870467687202183
100,0.24054615961904638,0.05786245490747174,0.015920671157362374,0.020676458698548606,24.327881967778424,21.236957370907373,9.916307604389509,avg_connection_strength_positive_original,MoCA总分,True,0.24054615961904638
100,0.23919223068602485,0.05721292322055653,0.016541166958838886,0.020676458698548606,5.755450150459192,4.609280179832666,2.360076063929576,avg_connection_strength_positive_original,数字广度逆向,True,0.23919223068602485
100,0.13462262526278526,0.01812325123264431,0.18174921344054823,0.20971063089294026,12.14810467117311,23.038480666062842,9.0324573571701,avg_connection_strength_positive_original,Boston-初始命名,False,0.13462262526278526
100,0.11762214782579739,0.013834969659153732,0.24382303556755322,0.2612389666795213,2.5973157220551215,7.629675160032874,2.21512072363517,avg_connection_strength_positive_original,数字广度顺向,False,0.11762214782579739
100,0.06604354425522141,0.004361749737791389,0.5138559264872591,0.5138559264872591,0.8867090614526981,2.239889101451962,1.35328267965097,avg_connection_strength_positive_original,CDT,False,0.06604354425522141
