Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d
18,23,4.7782813020180965,0.016355783150870815,1.0763943195343018,1.0763943195343018
26,30,4.412457329860481,0.016355783150870815,1.0101284980773926,1.0101284980773926
26,62,4.402563371316117,0.016355783150870815,0.9983595013618469,0.9983595013618469
34,35,-4.43165594648821,0.016355783150870815,-0.9962124824523926,0.9962124824523926
9,49,4.360872787156411,0.016355783150870815,0.9915484189987183,0.9915484189987183
21,34,4.301513704056435,0.016355783150870815,0.9662285447120667,0.9662285447120667
0,62,-4.197773792904725,0.017522305665437186,-0.9624273180961609,0.9624273180961609
30,56,-4.294696400281181,0.016355783150870815,-0.9461794495582581,0.9461794495582581
17,47,-4.208346849977599,0.017522305665437186,-0.9386357069015503,0.9386357069015503
5,11,-4.288969535217922,0.016355783150870815,-0.9127318263053894,0.9127318263053894
54,55,4.112604593450297,0.018068446403397033,0.9115687608718872,0.9115687608718872
56,57,3.976639205807116,0.020132186355333592,0.9092391729354858,0.9092391729354858
55,57,4.0931860532179405,0.018068446403397033,0.9086839556694031,0.9086839556694031
23,49,-4.159492760303734,0.017522305665437186,-0.9071518182754517,0.9071518182754517
18,26,4.055870636978398,0.019324613622894702,0.9038386940956116,0.9038386940956116
49,67,-3.967090955002592,0.020132186355333592,-0.8931363821029663,0.8931363821029663
26,34,3.9626523758967758,0.020132186355333592,0.8916152715682983,0.8916152715682983
36,38,3.9734097743620262,0.020132186355333592,0.885115385055542,0.885115385055542
37,57,4.000003593706201,0.020132186355333592,0.8753564357757568,0.8753564357757568
17,30,3.876615943831944,0.02276673803877375,0.8737000823020935,0.8737000823020935
31,44,-4.036729194930167,0.019881528049688922,-0.8676971197128296,0.8676971197128296
25,41,-3.8402651450395306,0.022778348349764915,-0.8654661774635315,0.8654661774635315
2,19,-3.8487473826564043,0.022778348349764915,-0.8579879403114319,0.8579879403114319
2,4,3.8685654024906238,0.02276673803877375,0.8569099307060242,0.8569099307060242
19,50,-3.865903134492447,0.02276673803877375,-0.8484864234924316,0.8484864234924316
2,66,-3.831731985684153,0.022778348349764915,-0.8356114029884338,0.8356114029884338
12,35,-3.677769394676756,0.031064250794048218,-0.8344004154205322,0.8344004154205322
30,40,-3.691336875626416,0.031064250794048218,-0.833057701587677,0.833057701587677
2,46,-3.6400781523548567,0.0339589874659997,-0.8302289843559265,0.8302289843559265
36,56,3.69895324680349,0.031064250794048218,0.8297873735427856,0.8297873735427856
28,53,-3.6899128236564716,0.031064250794048218,-0.8297354578971863,0.8297354578971863
28,56,3.7333543363575306,0.02919893580957878,0.8238321542739868,0.8238321542739868
17,27,3.730304377481154,0.02919893580957878,0.8227497935295105,0.8227497935295105
31,46,-3.555536354160637,0.03695429009223202,-0.8109226226806641,0.8109226226806641
50,55,3.656206261420784,0.031064250794048218,0.8090919852256775,0.8090919852256775
47,62,-3.590815942962178,0.03587139520453263,-0.8038538694381714,0.8038538694381714
29,36,-3.653527740548472,0.031064250794048218,-0.8034425377845764,0.8034425377845764
