Region1,Region2,t_statistic,p_value,cohens_d
0,62,-4.197773792904725,0.017522305665437186,-0.9624273180961609
2,4,3.8685654024906238,0.02276673803877375,0.8569099307060242
2,19,-3.8487473826564043,0.022778348349764915,-0.8579879403114319
2,46,-3.6400781523548567,0.0339589874659997,-0.8302289843559265
2,64,-3.56096505546619,0.03587139520453263,-0.784807562828064
2,66,-3.831731985684153,0.022778348349764915,-0.8356114029884338
3,46,3.4988201075221883,0.03754165123506868,0.7916028499603271
4,28,-3.3498864886138144,0.046784635508126934,-0.7524140477180481
5,11,-4.288969535217922,0.016355783150870815,-0.9127318263053894
6,66,-3.3847202619102936,0.045249508872260334,-0.7457742094993591
9,49,4.360872787156411,0.016355783150870815,0.9915484189987183
12,35,-3.677769394676756,0.031064250794048218,-0.8344004154205322
12,55,-3.4958160689866964,0.036988464902218604,-0.7715144753456116
14,32,-3.570648554661132,0.03587139520453263,-0.7916163206100464
17,27,3.730304377481154,0.02919893580957878,0.8227497935295105
17,30,3.876615943831944,0.02276673803877375,0.8737000823020935
17,42,-3.3614428060469597,0.046784635508126934,-0.7261222004890442
17,46,3.5677992018148132,0.03587139520453263,0.7889298796653748
17,47,-4.208346849977599,0.017522305665437186,-0.9386357069015503
17,58,-3.3534203239710743,0.046784635508126934,-0.724044144153595
18,23,4.7782813020180965,0.016355783150870815,1.0763943195343018
18,26,4.055870636978398,0.019324613622894702,0.9038386940956116
19,38,3.5078929951807813,0.036988464902218604,0.783283531665802
19,50,-3.865903134492447,0.02276673803877375,-0.8484864234924316
20,43,-3.506671560731647,0.036988464902218604,-0.7770289182662964
20,55,-3.52971690425658,0.03695429009223202,-0.777256190776825
21,34,4.301513704056435,0.016355783150870815,0.9662285447120667
21,65,3.398097979651367,0.044331011557269845,0.7532708644866943
22,29,-3.3550061185352353,0.046784635508126934,-0.7188898324966431
23,35,-3.3651082392643743,0.046784635508126934,-0.7414366602897644
23,49,-4.159492760303734,0.017522305665437186,-0.9071518182754517
25,41,-3.8402651450395306,0.022778348349764915,-0.8654661774635315
26,30,4.412457329860481,0.016355783150870815,1.0101284980773926
26,34,3.9626523758967758,0.020132186355333592,0.8916152715682983
26,62,4.402563371316117,0.016355783150870815,0.9983595013618469
27,60,-3.6097322786695987,0.0339589874659997,-0.7961174845695496
28,53,-3.6899128236564716,0.031064250794048218,-0.8297354578971863
28,56,3.7333543363575306,0.02919893580957878,0.8238321542739868
29,36,-3.653527740548472,0.031064250794048218,-0.8034425377845764
30,38,-3.5009837031945734,0.036988464902218604,-0.7646222114562988
30,40,-3.691336875626416,0.031064250794048218,-0.833057701587677
30,56,-4.294696400281181,0.016355783150870815,-0.9461794495582581
31,44,-4.036729194930167,0.019881528049688922,-0.8676971197128296
31,46,-3.555536354160637,0.03695429009223202,-0.8109226226806641
32,33,3.3645205503471867,0.046784635508126934,0.7300443649291992
33,35,3.4078724405168535,0.044331011557269845,0.767719566822052
33,51,-3.4418254767235457,0.04258749240620923,-0.7787303328514099
34,35,-4.43165594648821,0.016355783150870815,-0.9962124824523926
35,53,3.398965580155591,0.044331011557269845,0.745293915271759
36,38,3.9734097743620262,0.020132186355333592,0.885115385055542
36,56,3.69895324680349,0.031064250794048218,0.8297873735427856
37,57,4.000003593706201,0.020132186355333592,0.8753564357757568
37,61,-3.469543189811173,0.03899828276380346,-0.7797191143035889
38,52,3.5513857873585244,0.03609162971015976,0.7792160511016846
44,48,-3.5111770385316676,0.036988464902218604,-0.7732939124107361
47,62,-3.590815942962178,0.03587139520453263,-0.8038538694381714
49,67,-3.967090955002592,0.020132186355333592,-0.8931363821029663
50,55,3.656206261420784,0.031064250794048218,0.8090919852256775
54,55,4.112604593450297,0.018068446403397033,0.9115687608718872
54,59,3.482781609722842,0.03754165123506868,0.7535728812217712
55,57,4.0931860532179405,0.018068446403397033,0.9086839556694031
56,57,3.976639205807116,0.020132186355333592,0.9092391729354858
