Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d
4,57,5.252153902182864,0.002824375619164234,1.1529393196105957,1.1529393196105957
56,57,4.956233349009548,0.004942426134357916,1.1110762357711792,1.1110762357711792
0,12,4.714426750848466,0.008283343750240594,1.0562129020690918,1.0562129020690918
55,60,-4.297993515538523,0.02552152398779043,-0.96241295337677,0.96241295337677
36,56,4.268023726021185,0.02552152398779043,0.952782928943634,0.952782928943634
4,27,4.065087788857119,0.04312065594793617,0.9011449813842773,0.9011449813842773
55,57,3.877752868416612,0.06673606587269125,0.8780517578125,0.8780517578125
55,61,-3.8218330299708896,0.06673606587269125,-0.8451479077339172,0.8451479077339172
26,59,3.773815388467773,0.07129316977289554,0.8391079306602478,0.8391079306602478
0,19,-3.854323207567456,0.06673606587269125,-0.8348790407180786,0.8348790407180786
56,61,-3.717369752638409,0.07759181237152696,-0.8142918944358826,0.8142918944358826
21,32,3.6183182950259374,0.08093826073488501,0.8095581531524658,0.8095581531524658
4,28,-3.664704434668691,0.07882345881995988,-0.8060151934623718,0.8060151934623718
36,38,3.6351256800309844,0.08033666904491646,0.8026062250137329,0.8026062250137329
