Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d,cvib,comparison
40,54,-5.0457515155718795,0.003838524861167507,-1.112228512763977,1.112228512763977,0,NC vs MCI
39,55,-4.998740175699031,0.003838524861167507,-1.101633071899414,1.101633071899414,0,NC vs MCI
22,42,-4.856572061265122,0.00425153911744241,-1.0913541316986084,1.0913541316986084,0,NC vs MCI
28,36,-4.753063627677485,0.00425153911744241,-1.057235598564148,1.057235598564148,0,NC vs MCI
36,56,4.738723342130269,0.00425153911744241,1.0463210344314575,1.0463210344314575,0,NC vs MCI
4,57,4.494932414338966,0.008731446332323405,1.027593970298767,1.027593970298767,0,NC vs MCI
4,34,-4.5769963289646025,0.006681278296391321,-1.0151904821395874,1.0151904821395874,0,NC vs MCI
3,41,-4.47879958773409,0.00808059590007823,-0.9754888415336609,0.9754888415336609,0,NC vs MCI
8,18,-4.389136507373156,0.008731446332323405,-0.9586907625198364,0.9586907625198364,0,NC vs MCI
4,57,5.252153902182864,0.002824375619164234,1.1529393196105957,1.1529393196105957,0,NC vs SCD
56,57,4.956233349009548,0.004942426134357916,1.1110762357711792,1.1110762357711792,0,NC vs SCD
0,12,4.714426750848466,0.008283343750240594,1.0562129020690918,1.0562129020690918,0,NC vs SCD
