Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d,positive_mean,negative_mean,mean_difference
28,36,-8.31534395829903,1.7956357916338507e-11,-1.0685774087905884,1.0685774087905884,-0.054097272,0.05423899,-0.10833626
3,46,7.4494619644762885,1.3969373465796465e-09,0.9568689465522766,0.9568689465522766,0.06202552,-0.045332525,0.107358046
36,56,7.366616536914168,1.7310394884250864e-09,0.9460603594779968,0.9460603594779968,-0.010727048,-0.10551114,0.09478409
3,41,-7.533149242550929,1.134967699203446e-09,-0.9433667063713074,0.9433667063713074,0.020294053,0.114020295,-0.09372624
10,65,-7.279651420068513,2.1718516054128187e-09,-0.9291629195213318,0.9291629195213318,-0.010022119,0.060223993,-0.070246115
22,50,-7.149777215245003,3.0950158896414085e-09,-0.9278491735458374,0.9278491735458374,0.028822,0.10467929,-0.07585729
39,55,-7.24465010384949,2.1821844442246934e-09,-0.9218458533287048,0.9218458533287048,-0.07779139,-0.0066665965,-0.0711248
9,49,7.138952721543932,2.961389742056001e-09,0.915280282497406,0.915280282497406,-0.044405263,-0.1461631,0.10175784
30,40,-7.142192255072659,2.961389742056001e-09,-0.9059735536575317,0.9059735536575317,-0.040973943,0.05603412,-0.097008064
22,42,-7.018783042040728,4.6123128812112945e-09,-0.9010528922080994,0.9010528922080994,-1.2414733e-05,0.108762845,-0.10877526
28,64,6.90937548967577,8.218241278050199e-09,0.892435610294342,0.892435610294342,0.045228496,-0.06837602,0.113604516
16,50,-6.9579411923426155,5.9694800724333785e-09,-0.8917405605316162,0.8917405605316162,-0.020202653,0.05938671,-0.07958937
2,24,7.166526206951761,2.961389742056001e-09,0.8861250281333923,0.8861250281333923,-0.019350654,-0.0981876,0.07883695
6,22,7.0239623923993255,4.6123128812112945e-09,0.8743595480918884,0.8743595480918884,0.083877765,-0.018616607,0.102494374
12,35,-6.817262712458461,1.08801699815204e-08,-0.8724663257598877,0.8724663257598877,0.014359236,0.079688884,-0.06532965
53,58,6.866287415024578,8.314245437871726e-09,0.8620712161064148,0.8620712161064148,0.046762835,-0.012692822,0.059455656
38,48,6.779656906685312,1.2029753293263514e-08,0.8537918925285339,0.8537918925285339,0.07241785,-0.029692104,0.102109954
29,33,6.632603031463327,2.6577655286142305e-08,0.8405901789665222,0.8405901789665222,0.017905472,-0.04755289,0.065458365
14,45,-6.451508198064832,6.637491083692434e-08,-0.8322137594223022,0.8322137594223022,-0.015123163,0.030268047,-0.04539121
40,54,-6.5062949194997755,4.653619017813383e-08,-0.8315771818161011,0.8315771818161011,-0.055054545,0.02900282,-0.08405736
33,35,6.5485755911826775,3.858116606448586e-08,0.8285548686981201,0.8285548686981201,-0.085088335,-0.1511625,0.06607417
2,8,-6.558434245378932,3.858116606448586e-08,-0.8218784928321838,0.8218784928321838,0.00977688,0.07817817,-0.068401285
2,19,-6.389077416437003,7.914494752918143e-08,-0.8166716694831848,0.8166716694831848,-0.0059120627,0.070817605,-0.07672967
2,4,6.402356488375737,7.435273848581222e-08,0.8140298128128052,0.8140298128128052,0.019759303,-0.08463231,0.10439161
18,54,-6.513422601633845,4.653619017813383e-08,-0.8134973645210266,0.8134973645210266,0.04610481,0.118138455,-0.07203364
2,9,-6.335294623125198,1.0097866926062097e-07,-0.807580292224884,0.807580292224884,-0.00696303,0.069626234,-0.076589264
2,57,6.295657690050252,1.135628619171115e-07,0.8000792860984802,0.8000792860984802,0.061761674,-0.023423506,0.08518518
