subject_id,original_mean_correlation,processed_mean_correlation,improvement
3,0.40583119409669666,0.9612329622603758,0.5554017681636791
4,0.3439747033862813,0.9860252794493386,0.6420505760630573
5,0.2715456777721788,0.9849113847451024,0.7133657069729236
6,0.3301994366183727,0.9776620044274985,0.6474625678091258
7,0.3925017708397184,0.9700887845226275,0.5775870136829091
8,0.5604165992156533,0.98141902747133,0.4210024282556767
9,0.2786748359039934,0.9792175278180242,0.7005426919140307
10,0.3644485076003666,0.9814995837272031,0.6170510761268365
11,0.291228288294768,0.9691170615044706,0.6778887732097026
12,0.3348047517339572,0.9911685626027852,0.656363810868828
14,0.48067221240685887,0.9816712571400478,0.5009990447331889
17,0.35099316878587195,0.9817565504937977,0.6307633817079258
18,0.4010641051629478,0.9771633871514318,0.576099281988484
19,0.3685044255068885,0.9839241521704071,0.6154197266635186
20,0.31072557083342395,0.9891887353227622,0.6784631644893382
22,0.3001134813639025,0.9874043625295963,0.6872908811656938
23,0.31627222248839776,0.9816664947650917,0.6653942722766939
24,0.38547397996332167,0.9804586595150164,0.5949846795516948
27,0.34537070864468555,0.9848524944470748,0.6394817858023892
28,0.3310075742722681,0.9806528992697215,0.6496453249974534
29,0.3094608045175883,0.976079199825298,0.6666183953077097
31,0.39850476424693276,0.9650861336032934,0.5665813693563606
32,0.2975058020313074,0.987901613199306,0.6903958111679986
33,0.37542697838889566,0.9678845366527093,0.5924575582638136
35,0.35417799738267464,0.9384210976633136,0.584243100280639
37,0.36669273816676584,0.9757573019379849,0.6090645637712191
39,0.3866241760214918,0.9789999658324202,0.5923757898109284
40,0.3493340852158416,0.9760720754083146,0.626737990192473
41,0.3248260339924517,0.9692569082089468,0.6444308742164951
42,0.49923524841437955,0.9882565847672454,0.4890213363528659
43,0.358518231348063,0.9845441498184253,0.6260259184703623
44,0.3399795211146921,0.9735580541678668,0.6335785330531747
45,0.331776446234385,0.9732316792293461,0.641455232994961
46,0.32788227017881905,0.9730834107725584,0.6452011405937395
47,0.32710552269213194,0.9851066276001283,0.6580011049079963
48,0.3721885485826806,0.9883770181551315,0.6161884695724509
49,0.3154771589759146,0.9756985902877926,0.6602214313118779
50,0.4458693582127797,0.9741703997025958,0.5283010414898162
51,0.3135402336955482,0.9646246665290348,0.6510844328334866
52,0.42994682433949727,0.9396870452949543,0.509740220955457
53,0.3490609842752463,0.9841152982973389,0.6350543140220926
54,0.3070383110769763,0.9641317417217443,0.657093430644768
56,0.32951746079229716,0.986622146891676,0.6571046860993789
57,0.3371463183973759,0.9458828101005291,0.6087364917031532
58,0.3140949666928903,0.9805383745199066,0.6664434078270163
59,0.33491479903074123,0.9893082757873616,0.6543934767566204
60,0.31066858433443656,0.9870044648578009,0.6763358805233644
61,0.449358573797324,0.9855539070538797,0.5361953332565557
62,0.35470617181388564,0.9860203931353881,0.6313142213215025
63,0.304346602663814,0.9867987390409941,0.68245213637718
64,0.30813661859102603,0.9485996739446032,0.6404630553535772
65,0.34708053568747027,0.9884147095902002,0.6413341739027298
66,0.30124866263383315,0.9551159262634579,0.6538672636296248
68,0.316449515953639,0.9845763089485866,0.6681267929949476
71,0.35387069629451634,0.9759989816873373,0.622128285392821
72,0.2748163257935845,0.9838504193119814,0.7090340935183969
73,0.31609294122953163,0.9682397853949885,0.6521468441654568
74,0.342756200072599,0.9856314590988605,0.6428752590262615
75,0.3154478433166657,0.9377687214594218,0.622320878142756
76,0.35910656669294794,0.9813302502598006,0.6222236835668526
78,0.2964069918594093,0.9859910260713597,0.6895840342119504
80,0.33344674322252654,0.9865144558944376,0.6530677126719111
81,0.3197813062976752,0.9800975350655616,0.6603162287678864
82,0.40125539196137766,0.9725310686331741,0.5712756766717964
83,0.3975684638760627,0.9836075265019577,0.586039062625895
84,0.35228215387389283,0.9808799325133005,0.6285977786394077
85,0.3605674378585483,0.9786199984389597,0.6180525605804115
87,0.40346332988629313,0.9767253074853668,0.5732619775990737
88,0.43251901236764967,0.975124797894436,0.5426057855267863
89,0.3606501425307292,0.9801213829116516,0.6194712403809224
90,0.31680109800623557,0.9821159518705029,0.6653148538642674
91,0.31819384631740044,0.9838908862248571,0.6656970399074567
92,0.3730010792892118,0.9756666998523071,0.6026656205630954
94,0.3246074420161776,0.9798044473111384,0.6551970052949607
95,0.32603928070114463,0.959042651313001,0.6330033706118564
96,0.3315715488235675,0.9706147065355093,0.6390431577119418
97,0.36083159018705574,0.94446510851814,0.5836335183310843
99,0.3029327864999413,0.9237404759715105,0.6208076894715693
100,0.3215990004747803,0.9737304933034749,0.6521314928286946
101,0.32966035366522484,0.9778501106362159,0.648189756970991
102,0.394700230951788,0.9779846027319277,0.5832843717801397
104,0.360141293503102,0.9613167385564768,0.6011754450533748
105,0.336048579913196,0.9659779385331098,0.6299293586199137
106,0.5733691853210209,0.9886553680616051,0.41528618274058426
107,0.3166509837953979,0.9823899799011219,0.665738996105724
108,0.3473709172690027,0.9658234771156452,0.6184525598466425
109,0.28688602329287605,0.9890193316378358,0.7021333083449598
